"location","gender","age_arange","age_total"
중랑구,여,from0to4,86
중랑구,여,from5to9,58
중랑구,여,from10to14,31
중랑구,여,from15to19,57
중랑구,여,from20to24,212
중랑구,여,from25to29,396
중랑구,여,from30to34,402
중랑구,여,from35to39,285
중랑구,여,from40to44,206
중랑구,여,from45to49,293
중랑구,여,from50to54,327
중랑구,여,from55to59,267
중랑구,여,from60to64,97
중랑구,여,from65to69,28
중랑구,여,from70to74,4
중랑구,여,from75to79,2
중랑구,여,upto80,3
