"location","gender","visa_type","visa_total"
마포구,남,문화예술(D-1),"1"
마포구,남,구직(D-10),"48"
마포구,남,유학(D-2),"479"
마포구,남,기술연수(D-3),"0"
마포구,남,일반연수(D-4),"218"
마포구,남,취재(D-5),"22"
마포구,남,종교(D-6),"22"
마포구,남,주재(D-7),"102"
마포구,남,기업투자(D-8),"324"
마포구,남,무역경영(D-9),"21"
마포구,남,교수(E-1),"53"
마포구,남,선원취업(E-10),"2"
마포구,남,회화(E-2),"106"
마포구,남,연구(E-3),"28"
마포구,남,기술지도(E-4),"0"
마포구,남,전문직업(E-5),"2"
마포구,남,예술흥행(E-6),"15"
마포구,남,특정활동(E-7),"446"
마포구,남,비전문취업(E-9),"52"
마포구,남,방문동거(F-1),"175"
마포구,남,거주(F-2),"267"
마포구,남,동반(F-3),"150"
마포구,남,영주(F-5),"765"
마포구,남,결혼이민(F-6),"220"
마포구,남,기타(G-1),"113"
마포구,남,관광취업(H-1),"51"
마포구,남,방문취업(H-2),"377"
마포구,남,기타,"250"
마포구,여,문화예술(D-1),"1"
마포구,여,구직(D-10),"165"
마포구,여,유학(D-2),"1648"
마포구,여,기술연수(D-3),"0"
마포구,여,일반연수(D-4),"701"
마포구,여,취재(D-5),"1"
마포구,여,종교(D-6),"4"
마포구,여,주재(D-7),"20"
마포구,여,기업투자(D-8),"44"
마포구,여,무역경영(D-9),"1"
마포구,여,교수(E-1),"10"
마포구,여,선원취업(E-10),"0"
마포구,여,회화(E-2),"89"
마포구,여,연구(E-3),"7"
마포구,여,기술지도(E-4),"0"
마포구,여,전문직업(E-5),"0"
마포구,여,예술흥행(E-6),"13"
마포구,여,특정활동(E-7),"424"
마포구,여,비전문취업(E-9),"22"
마포구,여,방문동거(F-1),"228"
마포구,여,거주(F-2),"288"
마포구,여,동반(F-3),"363"
마포구,여,영주(F-5),"854"
마포구,여,결혼이민(F-6),"532"
마포구,여,기타(G-1),"20"
마포구,여,관광취업(H-1),"351"
마포구,여,방문취업(H-2),"388"
마포구,여,기타,"385"
서대문구,남,문화예술(D-1),"4"
서대문구,남,구직(D-10),"50"
서대문구,남,유학(D-2),"878"
서대문구,남,기술연수(D-3),"0"
서대문구,남,일반연수(D-4),"475"
서대문구,남,취재(D-5),"4"
서대문구,남,종교(D-6),"16"
서대문구,남,주재(D-7),"38"
서대문구,남,기업투자(D-8),"61"
서대문구,남,무역경영(D-9),"7"
서대문구,남,교수(E-1),"42"
서대문구,남,선원취업(E-10),"0"
서대문구,남,회화(E-2),"66"
서대문구,남,연구(E-3),"69"
서대문구,남,기술지도(E-4),"0"
서대문구,남,전문직업(E-5),"0"
서대문구,남,예술흥행(E-6),"6"
서대문구,남,특정활동(E-7),"225"
서대문구,남,비전문취업(E-9),"16"
서대문구,남,방문동거(F-1),"145"
서대문구,남,거주(F-2),"282"
서대문구,남,동반(F-3),"125"
서대문구,남,영주(F-5),"1083"
서대문구,남,결혼이민(F-6),"149"
서대문구,남,기타(G-1),"61"
서대문구,남,관광취업(H-1),"38"
서대문구,남,방문취업(H-2),"226"
서대문구,남,기타,"40"
서대문구,여,문화예술(D-1),"2"
서대문구,여,구직(D-10),"156"
서대문구,여,유학(D-2),"3155"
서대문구,여,기술연수(D-3),"0"
서대문구,여,일반연수(D-4),"1387"
